"dimension","Birth","Death"
0,0,1
0,0,0.0860000000000001
0,0,0.075
0,0,0.07
0,0,0.057
0,0,0.048
0,0,0.0429999999999999
0,0,0.039
0,0,0.035
0,0,0.032
0,0,0.031
0,0,0.0299999999999999
0,0,0.029
0,0,0.025
0,0,0.025
0,0,0.024
0,0,0.021
0,0,0.02
0,0,0.02
0,0,0.019
0,0,0.017
0,0,0.016
0,0,0.013
0,0,0.013
0,0,0.00999999999999998
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.009
0,0,0.00800000000000001
0,0,0.00799999999999999
0,0,0.00700000000000001
0,0,0.00699999999999999
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00599999999999989
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.00499999999999999
0,0,0.00499999999999995
0,0,0.004
0,0,0.004
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.00199999999999999
0,0,0.00199999999999997
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.000999999999999994
0,0,0.000999999999999994
0,0,0.000999999999999987
