"dimension","Birth","Death"
0,0,1
0,0,0.079
0,0,0.036
0,0,0.03
0,0,0.026
0,0,0.023
0,0,0.022
0,0,0.022
0,0,0.021
0,0,0.019
0,0,0.018
0,0,0.017
0,0,0.016
0,0,0.016
0,0,0.016
0,0,0.0159999999999999
0,0,0.015
0,0,0.015
0,0,0.014
0,0,0.013
0,0,0.013
0,0,0.013
0,0,0.012
0,0,0.012
0,0,0.011
0,0,0.011
0,0,0.011
0,0,0.011
0,0,0.01
0,0,0.01
0,0,0.01
0,0,0.01
0,0,0.01
0,0,0.00999999999999995
0,0,0.0099999999999999
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.00900000000000001
0,0,0.0089999999999999
0,0,0.00800000000000001
0,0,0.00800000000000001
0,0,0.00800000000000001
0,0,0.00800000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.00700000000000001
0,0,0.0069999999999999
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00599999999999995
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.004
0,0,0.004
0,0,0.004
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
0,0,0.001
