"dimension","Birth","Death"
0,0,1
0,0,0.082
0,0,0.0770000000000001
0,0,0.058
0,0,0.057
0,0,0.052
0,0,0.047
0,0,0.047
0,0,0.0459999999999999
0,0,0.04
0,0,0.0389999999999999
0,0,0.037
0,0,0.0259999999999999
0,0,0.024
0,0,0.021
0,0,0.021
0,0,0.02
0,0,0.018
0,0,0.017
0,0,0.015
0,0,0.015
0,0,0.014
0,0,0.013
0,0,0.012
0,0,0.012
0,0,0.012
0,0,0.011
0,0,0.011
0,0,0.011
0,0,0.011
0,0,0.00800000000000001
0,0,0.00700000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.00599999999999999
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.004
0,0,0.004
0,0,0.003
0,0,0.003
0,0,0.00299999999999997
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.002
0,0,0.000999999999999987
