"dimension","Birth","Death"
0,0,1
0,0,0.0650000000000001
0,0,0.054
0,0,0.045
0,0,0.04
0,0,0.039
0,0,0.038
0,0,0.036
0,0,0.033
0,0,0.031
0,0,0.03
0,0,0.027
0,0,0.027
0,0,0.0259999999999999
0,0,0.025
0,0,0.024
0,0,0.023
0,0,0.022
0,0,0.022
0,0,0.022
0,0,0.022
0,0,0.021
0,0,0.02
0,0,0.019
0,0,0.0189999999999999
0,0,0.016
0,0,0.0159999999999999
0,0,0.015
0,0,0.014
0,0,0.013
0,0,0.012
0,0,0.01
0,0,0.01
0,0,0.01
0,0,0.0099999999999999
0,0,0.00900000000000001
0,0,0.00899999999999995
0,0,0.007
0,0,0.00600000000000001
0,0,0.00600000000000001
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.005
0,0,0.004
0,0,0.004
0,0,0.004
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.003
0,0,0.001
0,0,0.001
0,0,0.001
